NPI,First_Name,Last_Name,License_Number,Network,Address,City,County,State,Zip_Code ,Phone_Number,Fax_Number,Specialty ,Date_Survey,Time_Survey,Survey_Completed,Urgent_Appointment_Date ,Urgent_Appointment_Time,Urg_Appt_Status,Non_Urgent_Appointment_Date, Non_Urgent_Appointment_Time,Non_Urg_Appt_Status
35-9367142,Stephanie,Crosby,672-54-5624,KY Medicaid,51147 Tammy Bridge,Owensboro,Daviess,Kentucky,42301,2709675000,2709625388,Obstetrics/Gynecology,3/17/22,8:00 AM,Yes,3/21/22,8:00 AM,Noncompliant,3/24/22,2:00 PM,Compliant
88-8131482,Marie,Larson,660-63-3278,KY Medicaid,6799 Eric Villages Suite 121,Owensboro,Daviess,Kentucky,42301,2705752100,2705724321,Internal Medicine,2/28/22,8:30 AM,Yes,3/7/22,2:00 PM,Noncompliant,5/9/22,1:30 PM,Noncompliant
81-6646811,Allison,Jefferson,102-45-6457,KY Medicaid,27495 Peters Lane,Louisville,Jefferson,Kentucky,40202,2707378559,2707372000,Obstetrics/Gynecology,3/17/22,10:30 AM,Yes,3/18/22,7:00 AM,Compliant,3/25/22,8:30 AM,Compliant
1033590542,BELILES,CHASE,247-70-0348,KY Medicaid,87640 Laura Forge,Bowling Green,Warren,Kentucky,42101,2707451000,2707424211,General Practice,3/8/22,1:30 PM,Yes,3/10/22,1:00 PM,Compliant,4/7/22,4:00 PM,Compliant
11-9695372,Michael,Hodges,017-33-3812,KY Medicaid,21631 Clark Trail,Owensboro,Daviess,Kentucky,42301,2702371700,2702323000,General Practice,3/7/22,7:30 AM,Yes,3/11/22,7:30 AM,Noncompliant,3/31/22,3:00 PM,Compliant
44-0068222,Jimmy,Flowers,342-47-8591,KY Medicaid,4931 Bailey Forks Suite 141,Frankfort,Franklin,Kentucky,40601,2708664141,2708674800,General Practice,3/21/22,1:00 PM,Yes,3/21/22,8:45 AM,Compliant,4/4/22,8:45 AM,Compliant
75-3077366,Stacey,Green,786-08-5258,KY Medicaid,5842 Johnson Lane Suite 244,Covington,Kenton,Kentucky,41011,2707232115,2707289343,Pediatrics,2/23/22,2:00 PM,Yes,3/2/22,1:00 PM,Noncompliant,3/15/22,1:30 PM,Compliant
10-4091461,Betty,Young,056-89-8981,KY Medicaid,299 Elizabeth Drives Suite 409,Bowling Green,Warren,Kentucky,42101,2703895000,2703850300,General Practice,3/11/22,9:00 AM,Yes,3/14/22,8:30 AM,Noncompliant,3/25/22,7:00 AM,Compliant
05-0136318,Lindsey,Lewis,217-92-6738,KY Medicaid,385 Kenneth Village,Lexington,Fayette,Kentucky,40509,2702562195,2702589451,Family Medicine,3/15/22,7:30 AM,Yes,3/18/22,4:00 PM,Noncompliant,3/28/22,1:30 PM,Compliant
65-7800648,Erik,English,112-73-0541,KY Medicaid,85891 Jeffrey Summit Suite 339,Covington,Kenton,Kentucky,41011,2706474300,2706475000,Family Medicine,3/16/22,2:30 PM,Yes,3/18/22,10:30 AM,Compliant,3/25/22,2:30 PM,Compliant
42-4099968,Darren,Ortiz,538-03-8284,KY Medicaid,4371 Carpenter Crest,Louisville,Jefferson,Kentucky,40202,2702125220,2702152100,Obstetrics/Gynecology,3/2/22,7:00 AM,Yes,3/18/22,8:45 AM,Noncompliant,5/10/22,4:00 PM,Noncompliant
46-7185079,Anthony,Cooke,304-63-5477,KY Medicaid,8273 Hart Springs,Bowling Green,Warren,Kentucky,42101,2704442444,2704478559,General Practice,3/2/22,7:00 AM,Yes,3/18/22,1:30 PM,Noncompliant,5/18/22,3:00 PM,Noncompliant
91-7740275,Patricia,Brown,385-57-9108,KY Medicaid,8161 William Circle Suite 601,Lexington,Fayette,Kentucky,40509,2702708870,2702751000,Pediatrics,3/7/22,2:00 PM,Yes,3/16/22,7:30 AM,Noncompliant,4/11/22,9:00 AM,Noncompliant
99-8968704,Jennifer,Crawford,441-24-9741,KY Medicaid,18291 Herrera Union Suite 659,Frankfort,Franklin,Kentucky,40601,2702707264,2702771700,Pediatrics,3/7/22,9:00 AM,Yes,3/9/22,7:30 AM,Compliant,4/22/22,3:00 PM,Noncompliant
61-4793702,Heather,Marquez,113-46-4341,KY Medicaid,893 Raymond Fort Suite 200,Owensboro,Daviess,Kentucky,42301,2706062421,2706064141,Pediatrics,3/8/22,10:30 AM,Yes,3/16/22,2:00 PM,Noncompliant,3/18/22,9:00 AM,Compliant
43-6166663,Brian,Bender,759-89-6409,KY Medicaid,3748 Cathy Vista,Lexington,Fayette,Kentucky,40509,2702707371,2702732115,Pediatrics,3/9/22,7:30 AM,Yes,3/15/22,10:30 AM,Noncompliant,3/25/22,4:00 PM,Compliant
51-2487264,Steven,Thomas,011-34-8520,KY Medicaid,7282 Anthony Pike,Frankfort,Franklin,Kentucky,40601,2702708255,2702795000,Internal Medicine,3/7/22,1:00 PM,Yes,3/14/22,1:30 PM,Noncompliant,4/5/22,4:00 PM,Compliant
06-9803073,Meghan,Novak,779-38-6535,KY Medicaid,289 Shari Mountains,Owensboro,Daviess,Kentucky,42301,2706063876,2706062195,Internal Medicine,3/18/22,1:30 PM,Yes,3/21/22,8:30 AM,Noncompliant,3/28/22,7:30 AM,Compliant
68-8100933,Brooke,Davis,039-08-0908,KY Medicaid,5641 Kristine Stravenue Suite 141,Bowling Green,Warren,Kentucky,42101,2706064084,2706074300,Obstetrics/Gynecology,3/15/22,8:00 AM,Yes,3/18/22,4:00 PM,Noncompliant,4/21/22,8:00 AM,Noncompliant
98-3329400,Thomas,Conway,503-87-6267,KY Medicaid,61237 Anthony Island Suite 806,Owensboro,Daviess,Kentucky,42301,2705028755,2705025220,Internal Medicine,3/2/22,4:00 PM,Yes,3/18/22,1:30 PM,Noncompliant,4/5/22,1:30 PM,Noncompliant
06-8347129,James,Lindsey,377-56-0156,KY Medicaid,459 Phillips Garden,Owensboro,Daviess,Kentucky,42301,2708599866,2708542444,Family Medicine,2/24/22,2:30 PM,Yes,2/25/22,2:00 PM,Compliant,4/19/22,4:00 PM,Noncompliant
84-9824462,Eric,Stanley,176-61-2475,KY Medicaid,6632 Bennett Islands Suite 713,Owensboro,Daviess,Kentucky,42301,2705022225,2705035211,Obstetrics/Gynecology,3/8/22,1:30 PM,Yes,3/18/22,1:00 PM,Noncompliant,3/25/22,8:45 AM,Compliant
81-2729136,Tiffany,Wu,276-53-7524,KY Medicaid,63894 Mendez Gardens,Frankfort,Franklin,Kentucky,40601,2705027324,2705056401,Family Medicine,3/17/22,4:00 PM,Yes,3/17/22,8:00 AM,Compliant,5/5/22,10:30 AM,Noncompliant
55-5780202,Nicholas,Sanchez,269-84-5405,KY Medicaid,95998 Schmidt Heights Suite 556,Covington,Kenton,Kentucky,41011,2702704172,2702774011,Pediatrics,3/15/22,4:00 PM,Yes,3/16/22,4:00 PM,Compliant,3/16/22,7:00 AM,Compliant
11-9588562,Olivia,Blackwell,215-33-2363,KY Medicaid,14804 Moore Burgs Suite 323,Frankfort,Franklin,Kentucky,40601,2702709324,2702792351,Family Medicine,3/9/22,1:30 PM,Yes,3/4/22,2:00 PM,Compliant,5/19/22,1:00 PM,Noncompliant
02-2266992,Zachary,Bradford,771-12-4670,KY Medicaid,4249 Fox Coves Suite 631,Covington,Kenton,Kentucky,41011,2705025623,2705044656,Obstetrics/Gynecology,3/1/22,1:00 PM,Yes,3/7/22,10:30 AM,Noncompliant,3/17/22,1:00 PM,Compliant
14-4789715,Connie,Lee,655-20-8846,KY Medicaid,714 Justin Underpass,Louisville,Jefferson,Kentucky,40202,2702705274,2702736503,General Practice,3/17/22,8:30 AM,Yes,3/18/22,2:00 PM,Compliant,3/25/22,4:00 PM,Compliant
36-9469021,Tiffany,Moore,008-31-9207,KY Medicaid,63162 Jennifer Harbors,Covington,Kenton,Kentucky,41011,2706063489,2706085104,Family Medicine,3/17/22,7:00 AM,Yes,3/21/22,8:30 AM,Noncompliant,3/25/22,3:00 PM,Compliant
53-3114897,Spencer,Munoz,212-52-4812,KY Medicaid,6982 Williams Trafficway,Lexington,Fayette,Kentucky,40509,2702703650,2702733186,Obstetrics/Gynecology,3/14/22,8:30 AM,Yes,3/17/22,4:00 PM,Noncompliant,5/6/22,4:00 PM,Noncompliant
84-7607817,Ashley,Garcia,440-97-7812,KY Medicaid,4480 Tiffany Ramp,Bowling Green,Warren,Kentucky,42101,2706066389,2706012000,Family Medicine,2/22/22,10:30 AM,Yes,3/8/22,9:00 AM,Noncompliant,4/19/22,8:45 AM,Noncompliant
1265828404,HALL,MICHAEL,496-28-7283,KY Medicaid,0719 Gonzales Flats Suite 998,Louisville,Jefferson,Kentucky,40202,2708599675,2708523100,Obstetrics/Gynecology,2/28/22,2:30 PM,Yes,3/2/22,7:00 AM,Compliant,5/19/22,1:30 PM,Noncompliant
1275829145,STONE,MATTHEW,366-96-8800,KY Medicaid,84090 Miller Port,Lexington,Fayette,Kentucky,40509,2702705752,2702782299,Obstetrics/Gynecology,3/14/22,4:00 PM,Yes,3/17/22,3:00 PM,Noncompliant,4/7/22,8:45 AM,Compliant
1275854143,PALLERLA,KALYANA,326-21-9588,KY Medicaid,7271 Smith Gateway Suite 618,Lexington,Fayette,Kentucky,40509,2708597378,2708533131,Family Medicine,2/21/22,7:00 AM,Yes,2/24/22,10:30 AM,Noncompliant,4/12/22,2:30 PM,Noncompliant
02-0803685,Caroline,White,160-47-5247,KY Medicaid,6536 Williams Harbors,Frankfort,Franklin,Kentucky,40601,2702707451,2702798000,General Practice,3/16/22,9:00 AM,Yes,3/21/22,7:00 AM,Noncompliant,4/4/22,7:30 AM,Compliant
99-3056138,Lisa,Harding,776-45-4030,KY Medicaid,817 Rodriguez Drives Suite 338,Owensboro,Daviess,Kentucky,42301,2706062371,2706014585,Family Medicine,3/15/22,8:30 AM,Yes,3/14/22,3:00 PM,Compliant,3/28/22,2:00 PM,Compliant
74-8909585,Amanda,Hill,701-73-9674,KY Medicaid,01548 Watkins Junction Suite 445,Covington,Kenton,Kentucky,41011,2702708664,2702787411,Obstetrics/Gynecology,2/24/22,7:30 AM,Yes,2/28/22,1:00 PM,Noncompliant,2/28/22,7:30 AM,Compliant
1295048247,SLEEM,RAMI,858-04-9913,KY Medicaid,742 Hall Trace,Louisville,Jefferson,Kentucky,40202,2706067232,2706006104,Family Medicine,2/24/22,2:30 PM,Yes,2/25/22,8:00 AM,Compliant,3/4/22,4:00 PM,Compliant
1295178036,SUN,HUIFANG,765-01-5719,KY Medicaid,74314 Michael Fields,Frankfort,Franklin,Kentucky,40601,2702703895,2702773400,Internal Medicine,2/22/22,3:00 PM,Yes,3/9/22,2:30 PM,Noncompliant,3/25/22,8:00 AM,Noncompliant
1295257921,RAMIREZ ALVARADO,ORIANA,508-75-0970,KY Medicaid,511 Bailey Keys,Lexington,Fayette,Kentucky,40509,2706062562,2706064175,Internal Medicine,3/14/22,10:30 AM,Yes,3/18/22,8:00 AM,Noncompliant,3/31/22,7:30 AM,Compliant
06-8577939,Aaron,Thompson,795-71-3494,KY Medicaid,96769 Spencer Mews Suite 077,Covington,Kenton,Kentucky,41011,2705026474,2705077700,Obstetrics/Gynecology,2/24/22,9:00 AM,Yes,2/25/22,1:30 PM,Compliant,2/28/22,8:30 AM,Compliant
56-9991922,Patricia,Maxwell,276-43-8078,KY Medicaid,68484 Patton Extension Suite 990,Lexington,Fayette,Kentucky,40509,2708592125,2708531000,General Practice,2/23/22,7:00 AM,Yes,3/8/22,2:00 PM,Noncompliant,3/25/22,2:00 PM,Compliant
83-6036552,Jessica,Hensley,507-04-8731,KY Medicaid,516 Young Path,Louisville,Jefferson,Kentucky,40202,2702704442,2702744753,Family Medicine,3/8/22,9:00 AM,Yes,3/18/22,8:00 AM,Noncompliant,4/14/22,7:00 AM,Noncompliant
20-0477365,Justin,Rivera,070-86-9217,KY Medicaid,28557 Williams Ridges,Covington,Kenton,Kentucky,41011,2708593235,2708579231,Obstetrics/Gynecology,3/14/22,2:00 PM,Yes,3/14/22,8:45 AM,Compliant,3/28/22,7:00 AM,Compliant
54-4500159,Catherine,Shaffer,301-92-2770,KY Medicaid,17224 Lucas Stream Suite 574,Louisville,Jefferson,Kentucky,40202,2706062856,2706088000,Pediatrics,3/14/22,8:30 AM,Yes,3/18/22,1:00 PM,Noncompliant,4/21/22,8:30 AM,Noncompliant
81-2407469,Todd,Gates,484-03-5761,KY Medicaid,352 Amy Road,Owensboro,Daviess,Kentucky,42301,2705025874,2705096600,Internal Medicine,2/24/22,9:00 AM,Yes,2/25/22,4:00 PM,Compliant,3/9/22,10:30 AM,Compliant
42-5198026,Tonya,Stokes,304-53-9490,KY Medicaid,5047 Christopher Cliffs,Owensboro,Daviess,Kentucky,42301,2706068492,2706073600,Pediatrics,3/16/22,4:00 PM,Yes,3/16/22,4:00 PM,Compliant,5/16/22,10:30 AM,Noncompliant
1043449341,UNES KUNJU,SHEBNA,691-96-9025,KY Medicaid,4720 Peter Ports,Bowling Green,Warren,Kentucky,42101,2705024844,2705092409,Obstetrics/Gynecology,2/28/22,8:30 AM,Yes,3/2/22,1:30 PM,Noncompliant,4/18/22,1:00 PM,Noncompliant
1043471717,OLALEKAN,DAVID,121-96-5551,KY Medicaid,4677 William Flats Suite 860,Bowling Green,Warren,Kentucky,42101,2706067836,2706023215,Obstetrics/Gynecology,2/22/22,2:30 PM,Yes,3/7/22,8:00 AM,Noncompliant,3/29/22,3:00 PM,Noncompliant
75-2392354,Michael,Tucker,285-89-8182,KY Medicaid,929 Greene Fords Suite 493,Louisville,Jefferson,Kentucky,40202,2706065985,2706068511,Pediatrics,3/18/22,3:00 PM,Yes,3/21/22,3:00 PM,Noncompliant,4/6/22,3:00 PM,Compliant
76-0353589,John,Hudson,002-30-7156,KY Medicaid,21414 Sherry Trace Suite 745,Louisville,Jefferson,Kentucky,40202,2706067433,2706038100,Family Medicine,3/15/22,8:45 AM,Yes,3/17/22,1:00 PM,Noncompliant,4/13/22,9:00 AM,Compliant
68-6566755,Tiffany,Jennings,588-99-6003,KY Medicaid,69326 Hernandez Motorway Suite 855,Louisville,Jefferson,Kentucky,40202,2708593012,2708514159,Family Medicine,2/18/22,3:00 PM,Yes,3/2/22,2:00 PM,Noncompliant,3/18/22,2:30 PM,Compliant
84-4876657,Brandi,Mclaughlin,455-09-9662,KY Medicaid,6779 Brian Field,Lexington,Fayette,Kentucky,40509,2708595723,2708525145,Internal Medicine,3/7/22,2:30 PM,Yes,3/16/22,8:00 AM,Noncompliant,4/21/22,8:30 AM,Noncompliant
13-1602816,Lisa,Curtis,310-78-6864,KY Medicaid,1321 Ellis Extension Suite 457,Frankfort,Franklin,Kentucky,40601,2702709882,2702748240,General Practice,3/14/22,1:00 PM,Yes,3/17/22,9:00 AM,Noncompliant,4/13/22,10:30 AM,Compliant
74-1893513,Donna,Sawyer,794-25-2945,KY Medicaid,823 Parrish Mill Suite 710,Louisville,Jefferson,Kentucky,40202,2708596233,2708522800,General Practice,3/17/22,8:45 AM,Yes,3/18/22,2:00 PM,Compliant,3/28/22,7:30 AM,Compliant
24-8518462,Elizabeth,Chapman,311-45-5059,KY Medicaid,91848 Coleman Mission Suite 690,Louisville,Jefferson,Kentucky,40202,2706065985,8591121100,General Practice,3/21/22,8:30 AM,Yes,3/23/22,8:30 AM,Noncompliant,3/23/22,2:00 PM,Compliant
67-2019214,Ashley,Davidson,134-59-9639,KY Medicaid,7585 Smith Bridge,Covington,Kenton,Kentucky,41011,2706067433,8592333600,Family Medicine,2/24/22,9:00 AM,Yes,3/14/22,2:30 PM,Noncompliant,3/28/22,2:30 PM,Noncompliant
02-0291055,Nicole,Alexander,720-33-4838,KY Medicaid,439 Price Overpass Suite 850,Covington,Kenton,Kentucky,41011,2708593012,8593254788,Obstetrics/Gynecology,3/14/22,2:00 PM,Yes,3/21/22,7:30 AM,Noncompliant,3/28/22,2:00 PM,Compliant
01-3848178,David,Andrade,207-71-8693,KY Medicaid,6846 Mclean Glen Suite 511,Bowling Green,Warren,Kentucky,42101,2708595723,8594605000,Pediatrics,2/24/22,3:00 PM,Yes,3/21/22,1:30 PM,Noncompliant,3/28/22,8:30 AM,Noncompliant
1316945314,ALLEN,JOSEPH,265-47-5464,KY Medicaid,9727 Michelle Row,Frankfort,Franklin,Kentucky,40601,2702709882,8595792300,Family Medicine,3/15/22,2:00 PM,Yes,3/17/22,8:30 AM,Compliant,3/25/22,1:00 PM,Compliant
1326244708,SUTTON,JARRETT,150-32-2486,KY Medicaid,0889 Silva Locks Suite 027,Owensboro,Daviess,Kentucky,42301,2708596233,8596593511,General Practice,3/7/22,8:00 AM,Yes,3/10/22,10:30 AM,Noncompliant,3/28/22,9:00 AM,Compliant
1326576661,HATEM,LOUBNA,622-84-3790,KY Medicaid,0900 Pratt Route Suite 648,Lexington,Fayette,Kentucky,40509,2702707621,8597878100,Internal Medicine,3/17/22,8:00 AM,Yes,3/18/22,2:00 PM,Compliant,3/28/22,4:00 PM,Compliant
01-9059431,Paula,Walker,199-37-5469,KY Medicaid,4046 Dawn Spurs Suite 786,Owensboro,Daviess,Kentucky,42301,2706068333,8598683500,Internal Medicine,2/24/22,8:00 AM,Yes,2/25/22,3:00 PM,Compliant,2/28/22,9:00 AM,Compliant
61-8063204,Amy,Clark,781-54-0435,KY Medicaid,46201 Ronald Crossing,Frankfort,Franklin,Kentucky,40601,2706063654,8599684800,General Practice,3/16/22,10:30 AM,Yes,3/18/22,10:30 AM,Noncompliant,3/28/22,1:00 PM,Compliant
37-0151245,Joshua,Thompson,396-24-6690,KY Medicaid,065 Robinson Causeway,Bowling Green,Warren,Kentucky,42101,2705023505,8600855281,Pediatrics,3/2/22,4:00 PM,Yes,3/10/22,2:00 PM,Noncompliant,3/30/22,2:00 PM,Compliant
59-7600939,Michael,Brown,708-73-2300,KY Medicaid,26166 Mitchell Flats,Lexington,Fayette,Kentucky,40509,2708598792,8601245441,Obstetrics/Gynecology,3/7/22,3:00 PM,Yes,3/9/22,7:30 AM,Compliant,3/18/22,9:00 AM,Compliant
94-1919350,Matthew,Graham,544-92-5730,KY Medicaid,73794 Susan Locks Suite 206,Covington,Kenton,Kentucky,41011,2706067893,8602473051,Obstetrics/Gynecology,2/24/22,8:00 AM,Yes,2/25/22,4:00 PM,Compliant,2/28/22,8:45 AM,Compliant
1356785141,GEARLDS,AMY,257-69-8256,KY Medicaid,03691 Andre Forges,Louisville,Jefferson,Kentucky,40202,2705028978,8603375018,General Practice,3/7/22,9:00 AM,Yes,3/14/22,9:00 AM,Noncompliant,4/5/22,10:30 AM,Compliant
1073877205,PATEL,KRUTI,025-94-9619,KY Medicaid,71555 Ashley Points,Frankfort,Franklin,Kentucky,40601,2706062183,8604295311,Family Medicine,2/28/22,10:30 AM,Yes,3/14/22,8:45 AM,Noncompliant,3/28/22,3:00 PM,Compliant
1104480763,JOHNS,BRANDI,377-78-5572,KY Medicaid,344 Maria Terrace,Frankfort,Franklin,Kentucky,40601,2702705984,8605876275,Internal Medicine,2/23/22,4:00 PM,Yes,2/24/22,7:30 AM,Compliant,5/9/22,7:30 AM,Noncompliant
1114069481,SZTENDERA,LORA,870-58-8740,KY Medicaid,729 Ruiz Grove Suite 002,Louisville,Jefferson,Kentucky,40202,2702709655,8606067000,General Practice,2/22/22,2:30 PM,Yes,2/25/22,2:00 PM,Noncompliant,3/7/22,4:00 PM,Compliant
1114414273,INABNITT,LAURA,499-36-2871,KY Medicaid,5734 Michael Manor Suite 191,Covington,Kenton,Kentucky,41011,2708597345,8607733500,Obstetrics/Gynecology,3/16/22,2:00 PM,Yes,3/18/22,1:00 PM,Compliant,5/13/22,1:00 PM,Noncompliant
40-2566612,Stephanie,Robertson,015-54-7058,KY Medicaid,79252 Schneider Parkway,Louisville,Jefferson,Kentucky,40202,2706063373,8608853561,Pediatrics,3/16/22,4:00 PM,Yes,3/17/22,2:30 PM,Compliant,5/4/22,7:30 AM,Noncompliant
1144210113,TOLBERT,JERRY,560-39-8593,KY Medicaid,8807 Rodriguez Pine,Frankfort,Franklin,Kentucky,40601,2708594975,8609266000,Obstetrics/Gynecology,3/3/22,3:00 PM,Yes,3/4/22,8:30 AM,Compliant,3/18/22,8:00 AM,Compliant
1154827871,LUDWIG,ELIZABETH,488-36-2617,KY Medicaid,092 Sarah Flat,Lexington,Fayette,Kentucky,40509,2706067595,8610306000,Internal Medicine,2/23/22,2:30 PM,Yes,2/25/22,2:00 PM,Compliant,4/26/22,1:30 PM,Noncompliant
1164765582,GRAVES,KEVIN,619-22-4557,KY Medicaid,633 Haley Villages Suite 418,Owensboro,Daviess,Kentucky,42301,2706067876,8611122901,Pediatrics,2/18/22,8:30 AM,Yes,3/17/22,2:00 PM,Noncompliant,4/29/22,3:00 PM,Noncompliant
1396900882,CROSSBOURNE,ANEISHA,500-56-1018,KY Medicaid,5355 Taylor Valleys,Lexington,Fayette,Kentucky,40509,2702707567,8612331000,Obstetrics/Gynecology,3/8/22,8:45 AM,Yes,3/10/22,1:30 PM,Noncompliant,3/24/22,4:00 PM,Compliant
1407033376,PANTIN,JEREMY,584-23-7151,KY Medicaid,74078 Hale Meadows,Owensboro,Daviess,Kentucky,42301,2706066333,8613642300,General Practice,3/10/22,10:30 AM,Yes,3/10/22,3:00 PM,Compliant,5/18/22,3:00 PM,Noncompliant
93-0963961,Sandra,Howell,473-26-9508,KY Medicaid,9716 Mario Harbor Suite 901,Covington,Kenton,Kentucky,41011,2702704653,8614281212,General Practice,3/15/22,2:30 PM,Yes,3/15/22,1:30 PM,Compliant,4/20/22,7:00 AM,Noncompliant
03-2643159,Aaron,Smith,660-84-5643,KY Medicaid,4000 Jones Park Suite 770,Owensboro,Daviess,Kentucky,42301,2706066666,8615442511,Internal Medicine,2/18/22,4:00 PM,Yes,2/25/22,10:30 AM,Noncompliant,3/21/22,8:45 AM,Noncompliant
63-2389757,Chad,Salazar,756-69-8785,KY Medicaid,044 Pierce Inlet Suite 227,Frankfort,Franklin,Kentucky,40601,2706063306,8616697441,Internal Medicine,3/7/22,8:00 AM,Yes,3/18/22,4:00 PM,Noncompliant,4/28/22,9:00 AM,Noncompliant
44-0054204,Heather,Armstrong,235-01-0931,KY Medicaid,840 Sandoval Dam,Frankfort,Franklin,Kentucky,40601,2706066722,8617399400,Obstetrics/Gynecology,3/9/22,10:30 AM,Yes,3/18/22,7:00 AM,Noncompliant,4/7/22,2:00 PM,Compliant
